index,quote_text
14211,"Time: That which man is always trying to kill, but which ends in killing him."
14350,Riches are chiefly good because they give us time.
14380,"From a poor man, poor in Time, I was suddenly lifted up into a vast revenue; I could see no end of my possessions; I wanted some steward, or judicious bailiff, to manage my estates in Time for me."
14423,"Sundays observe; think when the bells do chime,'T is angels' music."
14433,"Our time is fixed, and all our days are number'd;How long, how short, we know not:—this we know,Duty requires we calmly wait the summons,Nor dare to stir till Heaven shall give permission."
14523,"Knowledge is the consequence of time, and multitude of days are fittest to teach wisdom."
14540,"Knowledge is the consequence of time, and multitude of days are fittest to teach wisdom."
14571,Music is nothing else but wild sounds civilised into time and tune.
14663,"Jerusalem, thought Morrison, was like a deep pool, where time had settled too thickly."
14668,"""Were you always like this?""""Like what?""""A madman. With a time machine.""""Oh, no. It took ages until I got the time machine."""
14841,The years took all the fight out of Janie's face. For a while she thought it was gone from her soul.
14944,This—all this—was in the oldenTime long ago.
14962,"Keeping time, time, time,In a sort of Runic rhyme,To the tintinnabulation that so musically wellsFrom the bells, bells, bells, bells,Bells, bells, bells."
15134,"So many books, so little time."
15197,It is all a matter of time scale. An event that would be unthinkable in a hundred years may be inevitable in a hundred million.
15275,"Ibn 'Abbas said that the Messenger of Allah, may Allah bless him and grant him peace, said, ""There are two blessings which deceive many people: health and free time."""
15397,You are all caught in the current of history whose headwaters rise in the dark mountains of the past. You cannot change it; you survive and help others to survive by adapting to it.
15413,"Whan the sunne shinth make hay, whiche is to say, Take time whan time comth, lest time steale away."
15415,"Time is tickell, and out of sight out of minde. Than catche and holde while I may, fast binde fast finde."
15530,Time trieth troth in every doubt.
15591,"It is a matter of common experience that things get more disordered and chaotic with time. This observation even has its own law, the so-called second law of thermodynamics."
15681,"You could get use to anything. You got used to it and then time raced by, and before you knew it, time was up."
15751,The power of the periodical press is second only to that of the people.
15785,"History, it is easily perceived, is a picture-gallery containing a host of copies and very few originals."
15818,"Youth is the time when hearts are large,And stirring warsAppeal to the spirit which appeals in turnTo the blade it draws."
15967,"Had we but world enough, and time, This coyness, Lady, were no crime. We would sit down and think which way To walk, and pass our long love's day."
15970,But at my back I always hear Time's wingèd chariot hurrying near; And yonder all before us lie Deserts of vast eternity.
15979,"And all the way, to guide their chime,With falling oars they kept the time."
16044,A burglar who respects his art always takes his time before taking anything else.
16077,Since then – 'tis Centuries – and yet Feels shorter than the Day I first surmised the Horses' Heads Were toward Eternity –
16104,"The pedigree of honey Does not concern the bee; A clover, any time, to him Is aristocracy."
16162,A resident of over a hundred years in so narrow a world deserved higher homage.
16192,Time is the coin of your life. You spend it. Do not allow others to spend it for you.
16327,"The years like great black oxen tread the world,And God the herdsman goads them on behind,And I am broken by their passing feet."
16405,"Things said or done long years ago,Or things I did not do or sayBut thought that I might say or do,Weigh me down, and not a dayBut something is recalled,My conscience or my vanity appalled."
16574,"Times before you, when even the living men were Antiquities; when the living might exceed the dead, and to depart this world, could not be properly said, to go unto the greater number."
16578,"Time which antiquates Antiquities, and hath an art to make dust of all things."
16910,"If you want creative workers, give them enough time to play."
16925,Take the time to figure out how to get there. The quickest way may not necessarily be the best. The journey matters as much as the goal.
16950,"It's like a battle, trying to find the right words to say at the right time."
17046,"Concepts, like individuals, have their histories, and are just as incapable of withstanding the ravages of time as are individuals."
