index,quote_text
9311,"Now as the Paradisiacal pleasures of the Mahometans consist in playing upon the flute and lying with Houris, be mine to read eternal new romances of Marivaux and Crebillon."
9316,O'er her warm cheek and rising bosom move The bloom of young Desire and purple light of Love.
9364,"Dear, as the light that visits these sad eyes; Dear, as the ruddy drops that warm my heart."
9375,"God grants liberty only to those who love it, and are always ready to guard and defend it."
9395,Pity's akin to love.
9405,"Learn that to love is the one way to know,Or God or man: it is not love receivedThat maketh man to know the inner lifeOf them that love him; his own love bestowedShall do it."
9424,"Divine Love came down to take on itself our sins, but there is no Saviour to do the like for our mistakes."
9450,An oyster may be crossed in love.
9473,"Through all the drama — whether damned or not — Love gilds the scene, and women guide the plot."
9475,I loved him for himself alone.
9498,An oyster may be crossed in love.
9505,An oyster may be crossed in love!
9551,ove is more just than justice.
9571,Not to display anger or other emotions. To be free of passion and yet full of love. (Hays translation)
9673,Love that only which happens to thee and is spun with the thread of thy destiny. For what is more suitable?
9740,"I have often wondered how it should come to pass, that every man loving himself best, should more regard other men's opinions concerning himself than his own."
9823,I have no weapon but love.
9886,To be fond of dancing was a certain step towards falling in love.
9934,"I was never a great amorist, though I have loved several people very deeply."
10001,Love is a great force in private life; it is indeed the greatest of all things; but love in public affairs does not work.
10052,Love is something more stern and splendid than mere kindness.
10053,Love may forgive all infirmities and love still in spite of them: but Love cannot cease to will their removal.
10056,God will look to every soul like its first love because He is its first love.
10064,"When they have really learned to love their neighbours as themselves, they will be allowed to love themselves as their neighbours."
10066,"Gratitude looks to the past and love to the present; fear, avarice, lust, and ambition look ahead."
10078,"""They would say,"" he answered, ""that you do not fail in obedience through lack of love, but have lost love because you never attempted obedience."""
10088,"If there is equality, it is in His love, not in us."
10143,"I've been in love (truly) with five women, the Spanish Republic and the 4th Infantry Division."
10217,'What happens to people that love each other?I suppose they have whatever they have and they are more fortunate than others. Then one of them gets the emptiness for ever.'
10230,You can write any time people will leave you alone and not interrupt you. Or rather you can if you will be ruthless enough about it. But the best writing is certainly when you are in love.
10243,"Only three things in my life I've really liked to do - hunt, write and make love."
10258,You never understand anybody that loves you.
10263,"'But I get so hungry,' she said. 'Is it normal do you think? Do you always get so hungry when you make love?When you love somebody.'"
10264,'Please love me David the way I am. Please understand and love me.'
10273,"And dare love that, and say so too, And forget the He and She."
10274,"Busy old fool, unruly Sun, Why dost thou thus, Through windows, and through curtains call on us? Must to thy motions lovers' seasons run?"
10275,"Love, all alike, no season knows, nor clime, Nor hours, days, months, which are the rags of time."
10278,"The Phoenix riddle hath more wit By us, we two being one, are it. So to one neutral thing both sexes fit, We die and rise the same, and prove Mysterious by this love."
10280,"I am two fools, I know, For loving, and for saying so In whining poetry."
10286,"Twice and thrice had I loved thee, Before I knew thy face or name."
10287,"Let us love nobly, and live, and add again Years and years unto years, till we attain To write threescore: this is the second of our reign."
10290,"Dull sublunary lovers' love (Whose soul is sense) cannot admit Absence, because it doth remove Those things which elemented it."
10294,"That subtle knot which makes us man: So must pure lovers' souls descend T' affections, and to faculties, Which sense may reach and apprehend, Else a great Prince in prison lies."
10295,"Love's mysteries in souls do grow, But yet the body is his book."
10296,"I long to talk with some old lover's ghost, Who died before the god of love was born."
10297,"To rage, to lust, to write to, to commend, All is the purlieu of the god of love."
10299,Take heed of loving me.
10304,"Whilst my physicians by their love are grown Cosmographers, and their map, who lie Flat on this bed."
10307,"Nature's lay idiot, I taught thee to love."
10311,"Who ever loves, if he do not propose The right true end of love, he's one that goes To sea for nothing but to make him sick."
10312,"The Sestos and Abydos of her breasts Not of two lovers, but two loves the nests."
10456,"If a thing loves, it is infinite."
10458,"How sweet I roamed from field to field,And tasted all the summer's pride,Till I the prince of love beheld,Who in the sunny beams did glide!"
10460,"My silks and fine array,My smiles and languished air,By love are driv'n away;And mournful lean DespairBrings me yew to deck my grave:Such end true lovers have."
10462,"How have you left the ancient loveThat bards of old enjoyed in you!The languid strings do scarcely move!The sound is forced, the notes are few!"
10466,They suppose that Woman's Love is Sin; in consequence all the Loves & Graces with them are Sin.
10471,"And we are put on earth a little space,That we may learn to bear the beams of love,And these black bodies and this sunburnt faceIs but a cloud, and like a shady grove."
10519,"Love to faults is always blind,Always is to joys inclined,Lawless, winged, and unconfined,And breaks all chains from every mind."
10525,The look of love alarmsBecause 'tis filled with fire;But the look of soft deceitShall win the lover's hire.
10529,"Love seeketh not itself to please,Nor for itself hath any care,But for another gives its ease,And builds a heaven in hell's despair."
10530,"Love seeketh only Self to please,To bind another to its delight,Joys in another's loss of ease,And builds a hell in heaven's despite."
10531,"O Rose thou art sick.The invisible worm,That flies in the nightIn the howling storm:'Has found out thy bedOf crimson joy:And his dark secret loveDoes thy life destroy."
10540,"Children of the future Age Reading this indignant page, Know that in a former time Love! sweet Love! was thought a crime."
10570,"There is a smile of love,And there is a smile of deceit,And there is a smile of smilesIn which these two smiles meet."
10577,"The Angel that presided o'er my birthSaid, ""Little creature, formed of joy and mirth,Go love without the help of any thing on earth."""
10578,"Grown old in love from seven till seven times seven,I oft have wished for Hell for ease from Heaven."
10583,"O Saviour pour upon me thy Spirit of meekness & love:Annihilate the Selfhood in me, be thou all my life!Guide thou my hand which trembles exceedingly upon the rock of ages"
10643,Stubbornness equals character roughly as lust equals love.
10771,"As you read their names, imagine who they loved, who loved them, and those those left behind cope now without them. They're never coming home. Never."
10792,Ammu explained to Estha and Rahel that people always loved best what they Identified most with.
10794,Kochu Maria watched with her cake-crumbs.The Fond Smiles watched Fondly.Little Girls Playing.Sweet.One beach-coloured.One brown.One Loved.One Loved a Little Less.
10805,"I use the word love loosely, and only because my vocabulary is unequal to the task of describing the precise nature of that maze, that forest of feelings... (p153)"
10883,We can't form our children on our own concepts; we must take them and love them as God gives them to us.
10902,A world without love would be no world.
11020,The unique and supreme pleasure of love lies in the certainty of doing evil–and men and women know from birth that all pleasure lies in evil.
11082,To fall in love is to create a religion that has a fallible god.
11100,"So long as we love we serve; so long as we are loved by others, I would almost say that we are indispensable; and no man is useless while he has a friend."
11123,"People trifle with love. Now, I deny that love is a strong passion. Fear is the strong passion; it is with fear that you must trifle, if you wish to taste the intensest joys of living."
11133,Time passes quickly with lovers.
11138,"The old land is still the true love, the others are but pleasant infidelities."
11157,"The friendly cow all red and white,I love with all my heart:She gives me cream with all her might,To eat with apple-tart."
11257,"In solitude it is possible to love mankind; in the world, for one who knows the world, there can be nothing but secret or open war."
11276,The eyes those silent tongues of Love.
11319,"Absence, that common cure of love."
11371,"Love and War are the same thing, and stratagems and policy are as allowable in the one as in the other."
11373,"There is no love lost, sir."
11439,"It is sad not to be loved, but it is much sadder not to be able to love."
11453,"I have told you that... we know nothing save what we have first, in one way or another, desired; and it may even be added that we can know nothing well save what we love, save what we pity."
11454,Love is a contradiction if there is no God.
11805,How can anyone be against love?
11862,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 'Tis the pestOf love, that fairest joys give most unrest."
